Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,153500.000000,154500.000000,146000.000000,150000.000000,135175.265625,2278604
2018-05-21,149500.000000,151000.000000,138500.000000,139000.000000,125262.437500,3480602
2018-05-28,139000.000000,141000.000000,136000.000000,140000.000000,126163.585938,2849414
2018-06-04,140000.000000,144000.000000,139000.000000,141000.000000,127064.742188,2329198
2018-06-11,140000.000000,142000.000000,133000.000000,134000.000000,120756.578125,2726219
2018-06-18,134500.000000,136500.000000,125000.000000,130000.000000,117151.906250,3199132
2018-06-25,129500.000000,131000.000000,123000.000000,125500.000000,113096.640625,3800946
2018-07-02,125000.000000,126000.000000,118000.000000,123500.000000,112174.109375,2999108
2018-07-09,124000.000000,125500.000000,120500.000000,122500.000000,111265.812500,1935728
2018-07-16,122500.000000,129000.000000,122500.000000,127000.000000,115353.132813,2078962
2018-07-23,127500.000000,131500.000000,126500.000000,129500.000000,117623.867188,2294671
2018-07-30,129000.000000,131000.000000,124000.000000,124000.000000,112628.257813,1624407
2018-08-06,124500.000000,129500.000000,123500.000000,126000.000000,114444.843750,2145433
2018-08-13,125000.000000,127000.000000,122000.000000,126500.000000,114898.984375,1380313
2018-08-20,127500.000000,128000.000000,123000.000000,124500.000000,113082.406250,1441990
2018-08-27,125000.000000,127000.000000,123000.000000,125000.000000,113536.554688,1854464
2018-09-03,124500.000000,137000.000000,123500.000000,133000.000000,120802.875000,3161243
2018-09-10,131500.000000,133500.000000,128000.000000,129500.000000,117623.867188,1846520
2018-09-17,129000.000000,131000.000000,125500.000000,129000.000000,117169.703125,2238274
2018-09-24,129000.000000,130500.000000,128000.000000,129500.000000,117623.867188,761627
2018-10-01,130000.000000,130000.000000,122500.000000,124500.000000,113082.406250,1404114
2018-10-08,123500.000000,124000.000000,114500.000000,115500.000000,104907.765625,2297758
2018-10-15,116500.000000,119500.000000,111500.000000,115500.000000,104907.765625,2787344
2018-10-22,115000.000000,118500.000000,102500.000000,108000.000000,98095.578125,4230683
2018-10-29,106000.000000,110500.000000,103500.000000,110000.000000,99912.156250,3133070
2018-11-05,107000.000000,110000.000000,103500.000000,105000.000000,95370.703125,3572754
2018-11-12,105000.000000,105500.000000,99600.000000,103000.000000,93554.117188,2637702
2018-11-19,103000.000000,103500.000000,92500.000000,93700.000000,85107.000000,4819473
2018-11-26,93600.000000,108000.000000,93500.000000,107000.000000,97187.289063,6530236
2018-12-03,108500.000000,112500.000000,105500.000000,111000.000000,100820.445313,3318073
2018-12-10,108500.000000,121500.000000,108500.000000,116500.000000,105816.070313,3926013
2018-12-17,115000.000000,124500.000000,112500.000000,122500.000000,111265.812500,3659967
2018-12-24,122000.000000,124000.000000,117500.000000,118500.000000,107632.640625,1708682
2018-12-31,118500.000000,123000.000000,113000.000000,119500.000000,111324.031250,2501062
2019-01-07,121000.000000,124500.000000,118500.000000,123000.000000,114584.570313,2946291
2019-01-14,122500.000000,131500.000000,120500.000000,131000.000000,122037.226563,2592876
2019-01-21,132000.000000,132000.000000,124500.000000,128500.000000,119708.273438,2839909
2019-01-28,128500.000000,131000.000000,125500.000000,129500.000000,120639.859375,2353038
2019-02-04,129500.000000,129500.000000,124500.000000,125500.000000,116913.523438,895557
2019-02-11,126000.000000,129000.000000,119500.000000,121000.000000,112721.406250,3008758
2019-02-18,121000.000000,122000.000000,118500.000000,121000.000000,112721.406250,2705385
2019-02-25,120500.000000,130000.000000,120000.000000,126500.000000,117845.109375,3275601
2019-03-04,125000.000000,129000.000000,119500.000000,120000.000000,111789.828125,3224687
2019-03-11,121000.000000,126000.000000,117000.000000,121000.000000,112721.406250,3904777
2019-03-18,122000.000000,126000.000000,121000.000000,123500.000000,115050.367188,1811691
2019-03-25,121000.000000,122000.000000,118000.000000,119500.000000,111324.031250,1896704
2019-04-01,120000.000000,126500.000000,117500.000000,126000.000000,117379.320313,2323597
2019-04-08,126500.000000,128500.000000,125500.000000,126500.000000,117845.109375,1960874
2019-04-15,126000.000000,137000.000000,125000.000000,134000.000000,124831.968750,3371072
2019-04-22,133000.000000,140000.000000,132000.000000,135500.000000,126229.351563,3362182
2019-04-29,136500.000000,140500.000000,136500.000000,137500.000000,128092.500000,2244067
2019-05-06,137500.000000,137500.000000,128000.000000,130000.000000,121105.648438,2324564
2019-05-13,128000.000000,135000.000000,125000.000000,125500.000000,116913.523438,2625329
2019-05-20,125500.000000,130500.000000,125000.000000,130500.000000,121571.429688,3226895
2019-05-27,130000.000000,136500.000000,130000.000000,134500.000000,125297.773438,3984897
2019-06-03,134000.000000,142000.000000,132500.000000,140000.000000,130421.460938,2337913
2019-06-10,142000.000000,143500.000000,137500.000000,140500.000000,130887.250000,2654141
2019-06-17,140000.000000,141500.000000,139000.000000,140500.000000,130887.250000,1306323
2019-06-24,142000.000000,143500.000000,139000.000000,140000.000000,130421.460938,1439783
2019-07-01,141500.000000,142500.000000,134000.000000,141500.000000,132757.062500,1999791
2019-07-08,140500.000000,142000.000000,135000.000000,139500.000000,130880.625000,2961457
2019-07-15,139500.000000,140000.000000,132000.000000,134500.000000,126189.562500,2277876
2019-07-22,134000.000000,135500.000000,128500.000000,130500.000000,122436.710938,3163737
2019-07-29,130000.000000,131000.000000,124500.000000,127500.000000,119622.078125,2349007
2019-08-05,127500.000000,132500.000000,123000.000000,132500.000000,124313.132813,4089537
2019-08-12,131000.000000,132500.000000,125000.000000,128000.000000,120091.187500,1650858
2019-08-19,127500.000000,129500.000000,123000.000000,126000.000000,118214.757813,1991233
2019-08-26,124000.000000,130500.000000,123500.000000,128500.000000,120560.296875,3029094
2019-09-02,128000.000000,132000.000000,126500.000000,127500.000000,119622.078125,2246952
2019-09-09,127500.000000,129000.000000,126000.000000,129000.000000,121029.398438,1593488
2019-09-16,128500.000000,130500.000000,125500.000000,129500.000000,121498.492188,3263144
2019-09-23,129500.000000,136500.000000,129000.000000,133500.000000,125251.351563,2872694
2019-09-30,133500.000000,135500.000000,126500.000000,126500.000000,118683.867188,1755143
2019-10-07,128000.000000,130500.000000,125500.000000,126000.000000,118214.757813,1791014
2019-10-14,125000.000000,126000.000000,120500.000000,123000.000000,115400.117188,3293865
2019-10-21,124000.000000,124000.000000,120000.000000,123500.000000,115869.226563,3046585
2019-10-28,124500.000000,125000.000000,121000.000000,124000.000000,116338.335938,2674016
2019-11-04,123500.000000,126000.000000,123000.000000,124000.000000,116338.335938,2819438
2019-11-11,124000.000000,126000.000000,123500.000000,125500.000000,117745.648438,2506695
2019-11-18,125000.000000,126000.000000,123000.000000,123500.000000,115869.226563,3159132
2019-11-25,124000.000000,125500.000000,120000.000000,121000.000000,113523.695313,4951217
2019-12-02,121000.000000,124000.000000,117500.000000,118500.000000,111178.171875,6276328
2019-12-09,119500.000000,122500.000000,119000.000000,121000.000000,113523.695313,8962261
2019-12-16,120500.000000,124000.000000,119000.000000,124000.000000,116338.335938,5962254
2019-12-23,124000.000000,125000.000000,120000.000000,120500.000000,113054.585938,3038666
