Date,Open,High,Low,Close,Adj Close,Volume
2018-05-01,160000.000000,163000.000000,136000.000000,139000.000000,125262.437500,11539982
2018-06-01,138500.000000,144000.000000,123000.000000,125500.000000,113096.640625,12451114
2018-07-01,125000.000000,131500.000000,118000.000000,129500.000000,117623.851563,9794773
2018-08-01,130000.000000,130500.000000,122000.000000,125000.000000,113536.546875,7960303
2018-09-01,124500.000000,137000.000000,123500.000000,129500.000000,117623.851563,8007664
2018-10-01,130000.000000,130000.000000,102500.000000,106500.000000,96733.140625,12778244
2018-11-01,106500.000000,110500.000000,92500.000000,107000.000000,97187.281250,18634890
2018-12-01,108500.000000,124500.000000,105500.000000,118500.000000,107632.640625,12612735
2019-01-01,118500.000000,132000.000000,113000.000000,129500.000000,120639.851563,12840421
2019-02-01,129500.000000,130000.000000,118500.000000,126500.000000,117845.101563,10278056
2019-03-01,126500.000000,129000.000000,117000.000000,119500.000000,111324.039063,10837859
2019-04-01,120000.000000,140500.000000,117500.000000,138500.000000,129024.101563,12400505
2019-05-01,138500.000000,140500.000000,125000.000000,134500.000000,125297.765625,13022972
2019-06-01,134000.000000,143500.000000,132500.000000,140000.000000,130421.460938,7738160
2019-07-01,141500.000000,142500.000000,126500.000000,126500.000000,118683.867188,11677273
2019-08-01,126500.000000,132500.000000,123000.000000,128500.000000,120560.289063,11835317
2019-09-01,128000.000000,136500.000000,125500.000000,134000.000000,125720.453125,10405909
2019-10-01,134000.000000,134000.000000,120000.000000,122000.000000,114461.906250,11660438
2019-11-01,121500.000000,126000.000000,120000.000000,121000.000000,113523.703125,13907036
2019-12-01,121000.000000,125000.000000,117500.000000,120500.000000,113054.593750,24707303
2020-01-01,120500.000000,133000.000000,110000.000000,125000.000000,120220.726563,21724770
2020-02-01,123000.000000,137500.000000,114000.000000,115000.000000,110603.070313,19525736
2020-03-01,116000.000000,116500.000000,65000.000000,88700.000000,85308.632813,50502177
2020-04-01,88500.000000,103500.000000,83000.000000,93600.000000,90021.289063,41304577
2020-05-01,93600.000000,99600.000000,90500.000000,98000.000000,94253.054688,29451686
2020-06-01,98000.000000,115000.000000,97000.000000,97700.000000,93964.523438,35327068
2020-07-01,98500.000000,130500.000000,98000.000000,126500.000000,121663.382813,50392410
2020-08-01,126500.000000,182000.000000,123500.000000,176500.000000,169751.671875,78777457
2020-09-01,178500.000000,191500.000000,165500.000000,178500.000000,171675.203125,51843561
2020-10-01,178500.000000,188500.000000,156500.000000,164500.000000,158210.484375,42203538
2020-11-01,166000.000000,188500.000000,166000.000000,181500.000000,174560.515625,41595534
2020-12-01,183000.000000,199000.000000,179500.000000,192000.000000,184659.046875,40068950
2021-01-01,192000.000000,289000.000000,192000.000000,229000.000000,223787.171875,98505600
2021-02-01,229000.000000,253000.000000,224500.000000,237000.000000,231605.078125,30116099
2021-03-01,237000.000000,249000.000000,211000.000000,218000.000000,213037.578125,23179604
2021-04-01,220500.000000,238500.000000,211000.000000,212000.000000,207174.156250,20693301
