Date,Open,High,Low,Close,Adj Close,Volume
2016-02-22,147500.000000,148500.000000,146000.000000,147500.000000,125916.992188,273335
2016-02-23,148000.000000,149000.000000,146500.000000,149000.000000,127197.492188,250401
2016-02-24,147500.000000,150000.000000,146500.000000,149000.000000,127197.492188,191286
2016-02-25,149500.000000,153000.000000,145500.000000,147000.000000,125490.132813,490265
2016-02-26,148000.000000,148000.000000,144500.000000,147000.000000,125490.132813,351408
2016-02-29,145500.000000,149000.000000,144500.000000,147500.000000,125916.992188,570117
2016-03-02,150000.000000,150000.000000,148000.000000,150000.000000,128051.148438,539821
2016-03-03,151500.000000,151500.000000,146000.000000,147500.000000,125916.992188,627810
2016-03-04,146000.000000,147500.000000,143500.000000,147500.000000,125916.992188,696287
2016-03-07,147500.000000,147500.000000,145500.000000,146500.000000,125063.296875,317439
2016-03-08,145000.000000,149500.000000,145000.000000,148000.000000,126343.812500,366489
2016-03-09,147000.000000,149500.000000,146500.000000,149500.000000,127624.335938,452965
2016-03-10,149000.000000,150000.000000,148000.000000,148000.000000,126343.812500,690061
2016-03-11,147500.000000,150000.000000,147500.000000,149000.000000,127197.492188,408175
2016-03-14,150000.000000,150500.000000,147000.000000,148500.000000,126770.640625,362075
2016-03-15,148500.000000,149000.000000,146000.000000,147000.000000,125490.132813,309077
2016-03-16,147000.000000,148000.000000,145500.000000,146500.000000,125063.296875,206136
2016-03-17,148000.000000,148500.000000,146000.000000,146500.000000,125063.296875,492380
2016-03-18,148000.000000,150500.000000,147500.000000,150500.000000,128477.992188,769047
2016-03-21,151000.000000,155000.000000,149500.000000,154500.000000,131892.687500,803657
2016-03-22,155500.000000,159000.000000,155000.000000,159000.000000,135734.218750,872121
2016-03-23,159500.000000,159500.000000,157000.000000,158000.000000,134880.546875,454762
2016-03-24,156500.000000,157000.000000,154500.000000,155500.000000,132746.390625,288522
2016-03-25,154500.000000,155500.000000,152000.000000,153000.000000,130612.171875,279961
2016-03-28,153000.000000,156500.000000,152000.000000,154000.000000,131465.843750,186865
2016-03-29,155000.000000,156000.000000,153500.000000,155000.000000,132319.515625,229075
2016-03-30,156000.000000,159000.000000,155000.000000,155500.000000,132746.390625,373060
2016-03-31,156000.000000,156000.000000,151500.000000,152500.000000,130185.335938,575626
2016-04-01,152500.000000,152500.000000,147500.000000,149500.000000,127624.335938,604435
2016-04-04,148500.000000,149500.000000,143500.000000,144000.000000,122929.101563,767267
2016-04-05,144000.000000,145000.000000,143500.000000,144500.000000,123355.960938,292339
2016-04-06,144000.000000,146000.000000,144000.000000,144000.000000,122929.101563,379789
2016-04-07,143500.000000,146500.000000,143500.000000,146500.000000,125063.296875,366852
2016-04-08,146000.000000,146500.000000,144000.000000,146000.000000,124636.437500,339546
2016-04-11,147500.000000,147500.000000,145000.000000,146000.000000,124636.437500,197423
2016-04-12,146000.000000,150000.000000,145000.000000,148500.000000,126770.640625,361212
2016-04-14,150000.000000,152000.000000,149500.000000,152000.000000,129758.515625,496852
2016-04-15,150500.000000,152000.000000,149000.000000,151500.000000,129331.695313,297722
2016-04-18,150000.000000,155000.000000,150000.000000,154000.000000,131465.843750,406339
2016-04-19,155000.000000,155000.000000,152000.000000,153000.000000,130612.171875,310407
